entry_date,screen_time_hours,study_hours,sleep_hours,exercise_minutes,expenses,notes
2024-01-01,8.0,2.0,6.5,0,120.0,New Year – relaxed day
2024-01-02,7.5,3.0,7.0,30,85.0,Light work session
2024-01-03,6.0,5.0,7.5,45,60.0,Productive morning
2024-01-04,9.0,1.5,6.0,0,200.0,Too much social media
2024-01-05,5.5,6.0,8.0,60,55.0,Great focus day
2024-01-06,4.0,7.0,8.5,90,40.0,Best day of the week
2024-01-07,8.5,1.0,5.5,0,150.0,Weekend slump
2024-01-08,7.0,4.0,7.0,30,70.0,Back on track
2024-01-09,6.5,5.5,7.5,45,65.0,Steady progress
2024-01-10,5.0,6.5,8.0,60,50.0,High productivity
2024-01-11,9.5,1.0,5.0,0,180.0,Burnout warning
2024-01-12,6.0,5.0,7.0,30,75.0,Recovery day
2024-01-13,5.0,6.0,8.0,60,55.0,Good balance
2024-01-14,7.5,2.5,6.5,15,100.0,Weekend distractions
2024-01-15,6.5,5.0,7.5,45,70.0,Solid week ending
